url,title,house_type,price,sub_loc,bathrooms,bedrooms,Property Address,Estate Name,Property Size,Condition,Furnishing,Toilets,Agency Fee,Caution Fee,Minimum Rental Period,Self Contained,Subtype,Service Charge Fee,24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,TV,Tiled Floor,Wardrobe,Wi-Fi
https://jiji.com.gh/lake-side-estate/houses-apartments-for-rent/1bdrm-apartment-in-lakeside-estate-for-rent-zCdb93KQQXfsMr7epJh1oVrO.html,1bdrm Apartment in Lakeside Estate for rent,Apartment,"GH₵ 1,000",Ashaley Botwe,1,1,New Legon Abu Down,Lakeside Estate,45,Fairly Used,Unfurnished,1,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/dodowa/houses-apartments-for-rent/1bdrm-room-parlour-in-ages-properties-dodowa-for-rent-u4EfTagXHIwdn2bktGVmmyrn.html,"1bdrm Room & Parlour in Ages Properties, Dodowa for rent",Room & Parlour,GH₵ 600,Dodowa,1,1,Sasaabi off Adenta-Dodowa road,Ages properties,189,Fairly Used,Unfurnished,1,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/accra-metropolitan/houses-apartments-for-rent/2bdrm-apartment-in-bestchoice-property-accra-metropolitan-for-rent-8X0gUxA64de2qj2ds9rHfdVN.html,"2bdrm Apartment in Bestchoice Property, Accra Metropolitan for rent",Apartment,"GH₵ 4,000",Accra Metropolitan,2,2,Achimota,Bestchoice property,14,Newly-Built,Unfurnished,2,200,200,1 Month,,,,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/new-legon/houses-apartments-for-rent/3bdrm-house-in-adenta-new-legon-for-rent-yB2dQUgMUmR6lRABJLBBuFe7.html,3bdrm House in Adenta New Legon for rent,House,"GH₵ 3,500",Adenta,3,3,ADENTA NEW LEGON ROOF TOP,ADENTA NEW LEGON,1000,Newly-Built,Semi-Furnished,3,,,12 Month,Yes,Detached,,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1
https://jiji.com.gh/labadi/houses-apartments-for-rent/1bdrm-apartment-in-mr-akrong-labadi-for-rent-7omRCdkfk3T3e7AldKigIFTg.html,"1bdrm Apartment in Mr Akrong, Labadi for rent",Apartment,"GH₵ 2,700",Labadi,1,1,G55/5 Asafoatse Bu st,Mr Akrong,100,Newly-Built,Unfurnished,1,,3000,12 Month,Yes,,,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1
https://jiji.com.gh/madina/houses-apartments-for-rent/1bdrm-apartment-in-taxi-rank-madina-for-rent-cPNEBWv4SY6RXQrGK6omvlff.html,"1bdrm Apartment in Taxi Rank, Madina for rent",Apartment,GH₵ 500,Madina,1,1,Taxi Rank,Taxi Rank,12,Fairly Used,Unfurnished,1,,,12 Month,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/4bdrm-house-in-adjiriganor-for-rent-6E3Wfy95JEecoCMe7o06MEvu.html,4bdrm House in Adjiriganor for rent,House,"GH₵ 27,000",Adjiriganor,4,4,Adjirigarnor,,100,Newly-Built,Unfurnished,,,,,,,,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/kasoa/houses-apartments-for-rent/1bdrm-apartment-in-kasoa-new-market-for-rent-1gO1xi5HUtB0KbXd2eoDW0WM.html,1bdrm Apartment in Kasoa New Market for rent,Apartment,GH₵ 500,Kasoa,1,1,Kasoa,Kasoa New Market road,350,Fairly Used,Semi-Furnished,1,,,12 Month,Yes,,,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/madina/houses-apartments-for-rent/1bdrm-apartment-in-gracious-properties-madina-for-rent-qaWmSIjgpJOAJV82WH8mA4rP.html,"1bdrm Apartment in Gracious Properties, Madina for rent",Apartment,"GH₵ 1,700",Madina,1,1,Warefare,Gracious Properties,200,Old,Unfurnished,1,,,12 Month,Yes,,,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/ridge/houses-apartments-for-rent/furnished-3bdrm-apartment-in-ridge-for-rent-ttDUct22Gg9a9e33dn90jnfS.html,Furnished 3bdrm Apartment in Ridge for rent,Apartment,"GH₵ 60,000",Ridge,3,3,Ringway,,100,Newly-Built,Furnished,,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
https://jiji.com.gh/opeikuma/houses-apartments-for-rent/1bdrm-apartment-in-ab-majesty-opeikuma-for-rent-aYbmns1ZoNIgVr1yVRPf5WGQ.html,"1bdrm Apartment in Ab Majesty, Opeikuma for rent",Apartment,GH₵ 700,Kasoa,1,1,Kasoa Opeikuma YJunction Road,AB MAJESTY PROPERTIES,875,Fairly Used,Unfurnished,1,300,10,12 Month,Yes,,,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/ashaiman-municipal/houses-apartments-for-rent/furnished-1bdrm-apartment-in-three-kings-ashaiman-municipal-for-rent-BaysvWgvvCgTIZqnbk7qkjYP.html,"Furnished 1bdrm Apartment in Three Kings, Ashaiman Municipal for rent",Apartment,"GH₵ 2,200",Ashaiman Municipal,1,1,Ashaiman Washington,Three Kings properties,20,Fairly Used,Furnished,1,,,,,,,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
https://jiji.com.gh/east-legon/houses-apartments-for-rent/2bdrm-apartment-in-east-legon-for-rent-cscIlZ7YkGYfmYw71AGSb4NW.html,2bdrm Apartment in East Legon for rent,Apartment,"GH₵ 21,600",East Legon,2,2,East Legon,,100,Newly-Built,Unfurnished,,,,,,,,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/cantonments/houses-apartments-for-rent/5bdrm-house-in-cantonments-for-rent-no6f7ADpweuS9YzwgyusRkJZ.html,5bdrm House in Cantonments for rent,House,"GH₵ 45,600",Cantonments,5,5,Cantonments,,100,Newly-Built,Unfurnished,5,,,,,,,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
https://jiji.com.gh/sowutwuom/houses-apartments-for-rent/9bdrm-house-in-mattdeb-enterprise-sowutwuom-for-rent-2Kas4EBBdQ7HxrbmFpIJ0usn.html,"9bdrm House in Mattdeb Enterprise, Sowutwuom for rent",House,"GH₵ 5,000",Sowutwuom,5,9,Sowutuom,MATTDEB ENTERPRISE,333,Fairly Used,Unfurnished,5,200,,12 Month,,,,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/old-barrier/houses-apartments-for-rent/2bdrm-apartment-in-mr-justice-estate-old-barrier-for-rent-86mllbd3kCX9mG1muDyeYAhX.html,"2bdrm Apartment in Mr Justice Estate, Old Barrier for rent",Apartment,"GH₵ 3,000",Weija,3,2,barrier,Mr Justice Estate,4500,Newly-Built,Unfurnished,3,10,,12 Month,Yes,,150,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/opeikuma/houses-apartments-for-rent/3bdrm-apartment-in-ab-majesty-opeikuma-for-rent-aXLBdHJ51mStxtDNayXufGgJ.html,"3bdrm Apartment in Ab Majesty, Opeikuma for rent",Apartment,"GH₵ 1,500",Kasoa,2,3,KASOA OPEIKUMA Y JUNCTION,AB MAJESTY PROPERTIES,875,Fairly Used,Unfurnished,2,300,10,12 Month,Yes,,,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/east-legon/houses-apartments-for-rent/1bdrm-apartment-in-mega-anvil-homes-east-legon-for-rent-oNPI0lOAYuXsCYLeatscE4GU.html,"1bdrm Apartment in Mega Anvil Homes, East Legon for rent",Apartment,"GH₵ 3,000",East Legon,1,1,East Legon Hills,MEGA ANVIL HOMES,100,Fairly Used,Semi-Furnished,1,,,12 Month,Yes,,,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0
https://jiji.com.gh/airport-residential-area/houses-apartments-for-rent/4bdrm-house-in-airport-residential-area-for-rent-kxRsOIljrGjKAfZ10gfQqshv.html,4bdrm House in Airport Residential Area for rent,House,"GH₵ 58,500",Airport Residential Area,4,4,Airport hills,,100,Newly-Built,Semi-Furnished,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-house-in-east-legon-for-rent-imkzifbyB5XIzpA1W79bP3ys.html,4bdrm House in East Legon for rent,House,"GH₵ 26,400",East Legon,4,4,East Legon,,100,Newly-Built,Unfurnished,4,,,,,,,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0
