url,page
https://jiji.com.gh/mallam-junction/houses-apartments-for-rent/furnished-2bdrm-apartment-in-mallam-junction-for-rent-nQEa8AaCBz2zr6ydpcNboCQY.html,1
https://jiji.com.gh/spintex/houses-apartments-for-rent/2bdrm-apartment-in-tiyumba-real-estate-spintex-for-rent-a9YQ6zA9EgzMwjIcldu4TVjV.html,1
https://jiji.com.gh/ga-south-municipal/houses-apartments-for-rent/1bdrm-room-parlour-in-ga-south-municipal-for-rent-cCnaESTsXhbdlxJKEr21aY0I.html,1
https://jiji.com.gh/airport-residential-area/houses-apartments-for-rent/10bdrm-house-in-airport-residential-area-for-rent-eZSxFXgDUp0i5yXZb8HkJSef.html,1
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-adjiringanor-east-legon-for-rent-kPtkveKM8GBbvmSPyeJoe5vE.html,1
https://jiji.com.gh/tetegu/houses-apartments-for-rent/4bdrm-apartment-in-tetegu-for-rent-iIlnkEw43FsgQ1OUtWHotxwh.html,1
https://jiji.com.gh/cantonments/houses-apartments-for-rent/furnished-1bdrm-apartment-in-cantonments-for-rent-mkD1ce7K4HdBKdl64kJZ44pt.html,1
https://jiji.com.gh/kasoa/houses-apartments-for-rent/2bdrm-apartment-in-kasoa-for-rent-jHhBiS8q69mcXI43l3LCFXA1.html,1
https://jiji.com.gh/ga-west-municipal/houses-apartments-for-rent/1bdrm-house-in-ga-west-municipal-for-rent-5SIkcO5m6mwi7InLNPlC7UEF.html,1
https://jiji.com.gh/community-25/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-nyamedua-estate-community-25-5us1dbRls6NUGzI2swlEGjJ9.html,1
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/3bdrm-apartment-in-adjiringanor-adjiriganor-for-rent-sw1NprEt0Jo2oLfQg2Z9KxBV.html,1
https://jiji.com.gh/east-legon/houses-apartments-for-rent/3bdrm-apartment-in-east-legon-for-rent-CeyxwT7pvNvN3SKXTbEeR6gM.html,1
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/1bdrm-room-parlour-in-motorway-adjiriganor-for-rent-wSnPmZk6VPtrhJDcYJG86Zva.html,1
https://jiji.com.gh/malejor/houses-apartments-for-rent/2bdrm-apartment-in-malejor-for-rent-hkSb6dRj2VEo3bnJa9aK9re.html,1
https://jiji.com.gh/ga-west-municipal/houses-apartments-for-rent/2bdrm-house-in-ga-west-municipal-for-rent-r337qYAXTkEw1PS6PdyDEgR0.html,1
https://jiji.com.gh/santa-maria/houses-apartments-for-rent/1bdrm-apartment-in-santa-maria-for-rent-ssD1Aas1B4gSIljdxWVI89Pr.html,1
https://jiji.com.gh/lapaz/houses-apartments-for-rent/1bdrm-apartment-in-lapaz-for-rent-1vK61a3pZz4msCdTlFq90vbE.html,1
https://jiji.com.gh/east-legon/houses-apartments-for-rent/5bdrm-villa-in-trasacco-east-legon-for-rent-3vrBQkEdoulBALT7562EPwBE.html,1
https://jiji.com.gh/east-legon/houses-apartments-for-rent/1bdrm-apartment-in-american-house-east-legon-for-rent-gwGZ4MXpD1OAG6vmToEhLSb.html,1
https://jiji.com.gh/east-legon/houses-apartments-for-rent/4bdrm-house-in-ability-east-legon-for-rent-5jupB4KKwbB5me2HvMX70O4y.html,1
